Symbol,Volume,MktCap,PE,Return
ENPH,16.34083912225119,22.271679047542737,32.89,-66.81
PDD,16.339157036068205,25.69087532101506,10.86,-28.49
MNST,16.319402507663355,24.842758192701165,41.51,27.48
CHWY,16.312757419836878,23.57979351277985,46.05,55.51
CRM,16.312263430035955,26.24136912427076,40.79,8.62
CCCS,16.306647757502912,22.540693052923043,934.0,-18.57
PYPL,16.595881420646112,24.94462476872117,15.74,17.75
MDT,16.30183287189344,25.42992706181391,23.92,6.54
CNQ,16.286825254232806,24.976009185856203,12.84,-6.47
CVS,16.285980159954505,25.15660326585472,15.89,7.84
HAL,16.289103447852,23.67577740804584,9.32,-35.12
EQT,16.27261769039449,24.31179995611147,99.08,56.91
ABBV,16.2653943379792,26.514185791752016,79.53,7.27
SLB,16.26150311425305,24.60313748235747,12.15,-24.52
GAP,16.24578501209921,22.797820457052854,9.28,-13.95
WELL,16.243494060352653,25.317415519651036,86.42,46.88
ABT,16.238453147622053,26.167331539432535,17.27,26.3
CMG,16.234633467206272,24.987550060138737,46.71,-17.37
CVE,16.229815900568727,24.004778375662585,13.18,-24.0
FTI,16.22847355842793,23.413559316459363,18.6,37.52
VTR,16.22811529599687,24.062162192411186,189.24,23.2
CNC,16.227488027729517,24.02169194057262,8.02,-20.05
SW,16.226860365749708,23.819160137399383,51.65,-8.37
MGM,16.224975012585414,22.941381773314006,15.08,-20.45
BEKE,16.2221853594827,23.793131082341628,33.96,17.19
AQN,16.220020270680244,22.20350581090883,20.43,-4.19
UPS,16.21893596588439,25.15482045876949,14.49,-28.38
ERIC,16.216401339742443,24.05060137001011,166.0,35.84
NKE,16.227936116637853,25.20342820125086,19.86,-38.47
PR,16.20363093906458,23.189838780045907,8.98,-7.07
PINS,16.196537077264882,23.865433388729947,12.58,-20.64
DOC,16.18855411460688,23.19812215088091,41.71,-12.98
KIM,16.186781808746765,23.37170756644331,27.49,9.14
KMX,16.334979652101385,23.057833975793507,18.94,-6.3
SO,16.182477909887588,25.310750552878453,21.41,12.55
UNH,16.183321435876028,26.336266197949108,12.64,-38.36
CARR,16.177307510590165,24.824503255425682,46.98,9.04
OXY,16.166028304713624,24.527837253056422,18.47,-27.86
MOS,16.163929067301492,23.168044695643633,31.33,24.84
